N,P,K,temperature,humidity,ph,rainfall,label
98.37,35.63,37.75,21.56,87.36,6.89,283.83,rice
65.22,45.55,35.3,21.53,85.05,5.07,179.83,rice
98.99,48.62,37.2,24.12,88.09,5.02,270.87,rice
101.89,43.51,36.55,26.7,83.37,5.26,164.51,rice
110.85,50.09,43.07,25.11,85.36,7.72,206.78,rice
93.12,55.74,41.19,26.03,85.77,6.97,156.87,rice
73.67,42.23,35.8,21.63,81.01,5.78,245.35,rice
81.89,44.25,37.1,21.87,89.37,6.81,241.37,rice
70.27,53.23,36.63,22.66,89.9,6.79,233.54,rice
101.08,56.07,42.76,21.6,80.32,5.88,190.16,rice
72.66,58.57,43.76,22.2,86.55,6.11,287.18,rice
87.53,41.62,37.47,23.93,82.63,6.64,284.67,rice
83.96,40.48,44.98,23.57,80.91,5.13,166.45,rice
97.65,54.8,39.22,20.44,83.82,7.79,229.37,rice
118.26,56.52,35.11,25.05,86.82,6.5,190.02,rice
98.46,37.79,39.35,23.18,89.54,7.45,189.51,rice
90.04,39.47,44.13,26.09,82.98,6.79,241.35,rice
69.17,54.06,40.39,25.45,85.3,5.0,198.62,rice
61.17,58.23,43.79,25.82,83.08,5.16,281.7,rice
116.82,37.14,39.86,20.48,87.61,7.14,169.26,rice
88.52,48.75,37.65,26.11,84.23,5.59,230.89,rice
103.8,40.03,38.12,26.97,86.5,6.23,227.64,rice
67.26,40.62,38.38,24.12,82.3,5.62,160.65,rice
97.87,40.72,44.05,26.02,80.71,5.67,250.35,rice
72.85,38.31,44.36,24.0,84.73,7.2,271.12,rice
71.42,37.42,39.31,22.97,84.67,7.04,251.0,rice
119.05,37.46,39.03,22.38,88.62,5.7,178.53,rice
86.92,45.55,37.79,21.75,89.23,6.24,279.2,rice
93.02,36.26,44.99,25.85,89.69,7.59,277.3,rice
69.98,47.14,37.14,22.81,80.59,6.06,297.8,rice
75.91,54.6,39.55,22.96,89.57,7.79,233.37,rice
103.1,38.87,37.97,26.78,85.79,6.52,262.2,rice
63.43,49.6,40.03,25.97,81.57,7.69,162.02,rice
71.15,49.88,41.75,21.65,81.2,7.49,186.93,rice
95.67,50.48,39.19,24.09,85.23,7.62,180.64,rice
102.97,40.97,38.96,24.7,83.0,5.89,262.78,rice
64.35,46.46,44.98,26.97,80.73,5.6,189.78,rice
116.0,57.02,43.79,22.59,81.58,7.33,255.53,rice
96.7,59.68,41.54,20.05,88.17,5.84,249.51,rice
116.34,38.36,36.15,20.75,85.53,5.76,240.72,rice
103.06,40.09,41.34,21.85,84.89,7.53,276.92,rice
65.54,45.59,37.77,20.02,87.71,6.78,189.29,rice
104.47,48.79,39.28,20.07,80.75,7.47,285.59,rice
92.74,55.86,40.83,21.04,81.27,5.86,284.85,rice
107.77,56.52,43.99,21.47,82.5,5.29,267.02,rice
113.05,45.16,41.21,21.08,89.3,7.42,296.43,rice
108.65,57.04,35.25,25.16,83.32,7.61,270.34,rice
111.84,55.27,37.67,25.51,81.08,7.44,278.79,rice
73.35,55.41,39.6,22.14,87.95,5.64,153.55,rice
71.59,43.21,43.64,26.77,82.79,6.8,209.95,rice
118.87,48.41,44.39,20.81,89.7,5.5,294.38,rice
75.93,37.71,39.35,25.1,83.14,6.7,226.71,rice
83.11,49.41,37.55,24.96,80.02,7.59,230.77,rice
103.17,53.55,41.71,22.55,80.7,6.86,199.53,rice
78.83,56.2,42.2,22.1,83.09,6.14,210.36,rice
77.74,38.18,39.2,26.58,86.77,7.53,242.33,rice
