State,District,Nitrogen,Phosphorus,Potassium,pH,Soil_Type
Andhra Pradesh,Kakinada,147.8,15.7,153.3,6.93,Alluvial / Coastal Delta
Andhra Pradesh,Kakinada,149.7,19.6,171.8,6.85,Alluvial / Coastal Delta
Andhra Pradesh,Kakinada,143.4,15.7,151.6,7.1,Alluvial / Coastal Delta
Andhra Pradesh,Kakinada,135.5,16.7,164.5,7.13,Alluvial / Coastal Delta
Andhra Pradesh,Kakinada,139.4,19.0,169.3,6.8,Alluvial / Coastal Delta
Andhra Pradesh,Kakinada,151.1,19.7,155.2,6.89,Alluvial / Coastal Delta
Andhra Pradesh,Kakinada,154.1,17.5,147.8,6.86,Alluvial / Coastal Delta
Andhra Pradesh,Kakinada,151.9,19.1,169.2,7.24,Alluvial / Coastal Delta
Andhra Pradesh,Kakinada,145.7,21.3,156.4,7.13,Alluvial / Coastal Delta
Andhra Pradesh,Kakinada,151.6,19.2,170.9,7.15,Alluvial / Coastal Delta
Andhra Pradesh,Kakinada,149.1,15.8,151.8,6.97,Alluvial / Coastal Delta
Andhra Pradesh,Kakinada,136.6,16.9,148.0,6.97,Alluvial / Coastal Delta
Andhra Pradesh,Kakinada,147.7,17.7,156.1,6.93,Alluvial / Coastal Delta
Andhra Pradesh,Kakinada,140.3,21.1,164.4,7.17,Alluvial / Coastal Delta
Andhra Pradesh,Kakinada,138.4,19.9,149.9,7.03,Alluvial / Coastal Delta
Andhra Pradesh,Kakinada,154.8,19.3,161.7,7.21,Alluvial / Coastal Delta
Andhra Pradesh,Kakinada,151.9,20.2,151.9,6.82,Alluvial / Coastal Delta
Andhra Pradesh,Kakinada,141.3,17.1,151.3,7.37,Alluvial / Coastal Delta
Andhra Pradesh,Kakinada,152.5,17.4,164.7,7.04,Alluvial / Coastal Delta
Andhra Pradesh,Kakinada,153.3,18.3,152.9,6.95,Alluvial / Coastal Delta
Andhra Pradesh,Guntur,161.2,20.6,182.5,7.64,Black Cotton Soil
Andhra Pradesh,Guntur,158.0,20.3,194.9,7.41,Black Cotton Soil
Andhra Pradesh,Guntur,151.8,19.3,168.3,7.48,Black Cotton Soil
Andhra Pradesh,Guntur,165.8,21.5,166.9,7.33,Black Cotton Soil
Andhra Pradesh,Guntur,169.9,22.2,194.1,7.62,Black Cotton Soil
Andhra Pradesh,Guntur,150.2,23.3,185.5,7.42,Black Cotton Soil
Andhra Pradesh,Guntur,155.3,22.8,168.3,7.36,Black Cotton Soil
Andhra Pradesh,Guntur,159.1,24.7,191.3,7.26,Black Cotton Soil
Andhra Pradesh,Guntur,160.0,20.1,192.4,7.62,Black Cotton Soil
Andhra Pradesh,Guntur,156.0,22.8,183.3,7.19,Black Cotton Soil
Andhra Pradesh,Guntur,165.3,22.2,188.4,7.42,Black Cotton Soil
Andhra Pradesh,Guntur,150.0,20.9,165.6,7.66,Black Cotton Soil
Andhra Pradesh,Guntur,167.6,24.0,174.2,7.13,Black Cotton Soil
Andhra Pradesh,Guntur,167.6,24.7,167.6,7.39,Black Cotton Soil
Andhra Pradesh,Guntur,151.4,23.6,188.0,7.18,Black Cotton Soil
Andhra Pradesh,Guntur,159.5,22.3,173.0,7.62,Black Cotton Soil
Andhra Pradesh,Guntur,158.5,20.3,181.2,7.54,Black Cotton Soil
Andhra Pradesh,Guntur,154.0,20.9,194.9,7.49,Black Cotton Soil
Andhra Pradesh,Guntur,158.8,22.1,168.6,7.23,Black Cotton Soil
Andhra Pradesh,Guntur,156.8,22.5,171.9,7.23,Black Cotton Soil
Andhra Pradesh,Kurnool,116.4,14.8,121.9,8.04,Red & Black Saline
Andhra Pradesh,Kurnool,132.2,11.4,122.1,7.9,Red & Black Saline
Andhra Pradesh,Kurnool,119.3,11.8,143.1,7.84,Red & Black Saline
Andhra Pradesh,Kurnool,124.5,15.7,139.2,7.61,Red & Black Saline
Andhra Pradesh,Kurnool,116.9,13.6,127.7,7.78,Red & Black Saline
Andhra Pradesh,Kurnool,129.6,15.0,144.5,7.56,Red & Black Saline
Andhra Pradesh,Kurnool,123.1,13.0,140.9,7.65,Red & Black Saline
Andhra Pradesh,Kurnool,118.8,13.7,127.7,7.67,Red & Black Saline
Andhra Pradesh,Kurnool,120.0,16.5,128.3,8.02,Red & Black Saline
Andhra Pradesh,Kurnool,126.0,11.3,145.0,8.0,Red & Black Saline
Andhra Pradesh,Kurnool,134.4,16.6,140.5,7.6,Red & Black Saline
Andhra Pradesh,Kurnool,124.7,12.3,127.0,7.54,Red & Black Saline
Andhra Pradesh,Kurnool,122.6,16.9,123.0,7.97,Red & Black Saline
Andhra Pradesh,Kurnool,124.1,13.5,143.7,8.1,Red & Black Saline
Andhra Pradesh,Kurnool,126.1,15.3,119.6,7.68,Red & Black Saline
Andhra Pradesh,Kurnool,134.4,14.5,131.3,7.95,Red & Black Saline
Andhra Pradesh,Kurnool,116.1,14.5,130.1,8.01,Red & Black Saline
Andhra Pradesh,Kurnool,118.1,16.8,117.4,7.61,Red & Black Saline
Andhra Pradesh,Kurnool,126.9,15.1,122.1,7.57,Red & Black Saline
Andhra Pradesh,Kurnool,132.8,12.5,132.8,7.87,Red & Black Saline
Andhra Pradesh,Anantapur,108.4,12.5,115.7,8.36,Red Sandy Arid
